transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes
zenoh,1024,5000,scale_20251215_064911_zenoh_p1024_n500_r10,5000.02,0.431,0.890,1.760,4999.98,0,280001,0,/home/cc/mq-bench/artifacts/scale_20251215_064911_zenoh_p1024_n500_r10/fanout_multi_topic_perkey,44.460000,2.830000,58384712,28.131429,2.830000,58330036
zenoh,1024,10000,scale_20251215_065151_zenoh_p1024_n1000_r10,9999.88,0.557,1.152,5.509,10000.00,0,569993,0,/home/cc/mq-bench/artifacts/scale_20251215_065151_zenoh_p1024_n1000_r10/fanout_multi_topic_perkey,55.760000,5.550000,114399642,46.358214,5.540714,114328488
zenoh,1024,20000,scale_20251215_065431_zenoh_p1024_n2000_r10,20000.39,2.202,62.840,88.431,20000.08,0,1240024,0,/home/cc/mq-bench/artifacts/scale_20251215_065431_zenoh_p1024_n2000_r10/fanout_multi_topic_perkey,98.400000,11.030000,227540992,92.994667,11.024333,227390696
zenoh,1024,30000,scale_20251215_065714_zenoh_p1024_n3000_r10,29995.23,154.010,284.879,326.291,30000.43,0,2069671,0,/home/cc/mq-bench/artifacts/scale_20251215_065714_zenoh_p1024_n3000_r10/fanout_multi_topic_perkey,99.850000,17.510000,361234432,98.033939,17.347273,357793196
zenoh,1024,40000,scale_20251215_070002_zenoh_p1024_n4000_r10,39997.32,393.052,849.871,991.876,40000.06,0,2959802,0,/home/cc/mq-bench/artifacts/scale_20251215_070002_zenoh_p1024_n4000_r10/fanout_multi_topic_perkey,93.990000,25.540000,526909440,90.211667,25.178333,519318915
zenoh,1024,50000,scale_20251215_070255_zenoh_p1024_n5000_r10,50842.68,2354.692,5731.670,8171.629,49999.89,0,4118257,0,/home/cc/mq-bench/artifacts/scale_20251215_070255_zenoh_p1024_n5000_r10/fanout_multi_topic_perkey,96.500000,54.390000,1122060206,87.057027,52.764324,1088321678
redis,1024,5000,scale_20251215_070557_redis_p1024_n500_r10,5000.13,0.355,0.961,2.060,4999.93,0,275007,0,/home/cc/mq-bench/artifacts/scale_20251215_070557_redis_p1024_n500_r10/fanout_multi_topic_perkey,47.330000,0.500000,10244588,22.754074,0.500000,10218024
redis,1024,10000,scale_20251215_070827_redis_p1024_n1000_r10,9999.93,0.461,1.139,5.007,10000.00,0,559996,0,/home/cc/mq-bench/artifacts/scale_20251215_070827_redis_p1024_n1000_r10/fanout_multi_topic_perkey,51.870000,0.840000,17406362,34.290741,0.840000,17364030
redis,1024,20000,scale_20251215_071057_redis_p1024_n2000_r10,20000.12,0.787,3.985,24.644,19999.98,0,1160007,0,/home/cc/mq-bench/artifacts/scale_20251215_071057_redis_p1024_n2000_r10/fanout_multi_topic_perkey,76.150000,1.560000,32149340,72.369655,1.551379,31998201
redis,1024,30000,scale_20251215_071330_redis_p1024_n3000_r10,25888.25,103.588,120.189,142.643,29929.13,0,1553295,0,/home/cc/mq-bench/artifacts/scale_20251215_071330_redis_p1024_n3000_r10/fanout_multi_topic_perkey,101.010000,2.850000,58783171,99.275517,2.522414,52020579
redis,1024,40000,scale_20251215_071751_redis_p1024_n4000_r10,25015.51,112.778,135.722,152.883,36480.55,0,1575977,0,/home/cc/mq-bench/artifacts/scale_20251215_071751_redis_p1024_n4000_r10/fanout_multi_topic_perkey,100.970000,3.130000,64644710,99.459032,2.818387,58128994
redis,1024,50000,scale_20251215_072322_redis_p1024_n5000_r10,25628.31,120.644,140.689,156.511,35859.68,0,6688990,0,/home/cc/mq-bench/artifacts/scale_20251215_072322_redis_p1024_n5000_r10/fanout_multi_topic_perkey,100.920000,3.270000,67444408,99.450000,3.020000,62299127
nats,1024,5000,scale_20251215_073431_nats_p1024_n500_r10,5000.00,0.308,0.777,1.832,5000.00,0,280000,0,/home/cc/mq-bench/artifacts/scale_20251215_073431_nats_p1024_n500_r10/fanout_multi_topic_perkey,43.250000,3.120000,64445481,28.743333,3.117778,64323924
nats,1024,10000,scale_20251215_073701_nats_p1024_n1000_r10,10000.00,0.417,1.152,6.525,10000.03,0,580000,0,/home/cc/mq-bench/artifacts/scale_20251215_073701_nats_p1024_n1000_r10/fanout_multi_topic_perkey,50.600000,6.150000,126877696,41.986071,6.123214,126286000
