transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes
zenoh,1024,5000,scale_20251216_023451_zenoh_p1024_n500_r10,5000.02,0.448,0.715,1.064,4999.98,0,280001,0,/home/cc/mq-bench/artifacts/scale_20251216_023451_zenoh_p1024_n500_r10/fanout_multi_topic_perkey,67.820000,0.710000,59328430,60.577037,0.708148,58892300
zenoh,1024,10000,scale_20251216_023733_zenoh_p1024_n1000_r10,9999.83,0.540,1.019,1.474,10000.00,0,579990,0,/home/cc/mq-bench/artifacts/scale_20251216_023733_zenoh_p1024_n1000_r10/fanout_multi_topic_perkey,114.060000,1.390000,115448218,100.666429,1.381786,115126155
zenoh,1024,20000,scale_20251216_024016_zenoh_p1024_n2000_r10,20000.51,0.533,1.116,1.605,20000.00,0,1220031,0,/home/cc/mq-bench/artifacts/scale_20251216_024016_zenoh_p1024_n2000_r10/fanout_multi_topic_perkey,126.870000,2.740000,228065280,115.845333,2.739000,227907994
zenoh,1024,30000,scale_20251216_024300_zenoh_p1024_n3000_r10,29999.66,0.594,1.291,2.288,29999.94,0,1919978,0,/home/cc/mq-bench/artifacts/scale_20251216_024300_zenoh_p1024_n3000_r10/fanout_multi_topic_perkey,214.580000,4.090000,340472627,181.316774,4.085484,340114082
zenoh,1024,40000,scale_20251216_024547_zenoh_p1024_n4000_r10,40000.09,0.813,9.688,64.178,39999.97,0,2720006,0,/home/cc/mq-bench/artifacts/scale_20251216_024547_zenoh_p1024_n4000_r10/fanout_multi_topic_perkey,268.320000,5.450000,453718835,208.727059,5.447647,453444355
zenoh,1024,50000,scale_20251216_024837_zenoh_p1024_n5000_r10,50023.53,2.526,122.088,142.566,50000.15,0,3651718,0,/home/cc/mq-bench/artifacts/scale_20251216_024837_zenoh_p1024_n5000_r10/fanout_multi_topic_perkey,287.780000,7.420000,617820979,256.947778,7.337778,610979021
zenoh,1024,60000,scale_20251216_025130_zenoh_p1024_n6000_r10,59998.75,28.817,196.416,429.414,59999.91,0,4859899,0,/home/cc/mq-bench/artifacts/scale_20251216_025130_zenoh_p1024_n6000_r10/fanout_multi_topic_perkey,326.030000,9.580000,797442048,297.346667,9.471795,788574859
zenoh,1024,70000,scale_20251216_025430_zenoh_p1024_n7000_r10,69923.67,52.748,523.583,1118.155,69999.99,0,6223207,0,/home/cc/mq-bench/artifacts/scale_20251216_025430_zenoh_p1024_n7000_r10/fanout_multi_topic_perkey,313.990000,12.260000,1020369306,277.651538,12.135128,1010378258
zenoh,1024,80000,scale_20251216_025740_zenoh_p1024_n8000_r10,79802.07,79.657,993.653,2022.947,80000.33,0,8139811,0,/home/cc/mq-bench/artifacts/scale_20251216_025740_zenoh_p1024_n8000_r10/fanout_multi_topic_perkey,335.090000,15.070000,1255204192,319.214737,14.922368,1242404059
redis,1024,5000,scale_20251216_030107_redis_p1024_n500_r10,5000.07,0.506,1.043,1.795,5000.00,0,275004,0,/home/cc/mq-bench/artifacts/scale_20251216_030107_redis_p1024_n500_r10/fanout_multi_topic_perkey,57.030000,0.130000,10800333,46.759259,0.127407,10486304
redis,1024,10000,scale_20251216_030337_redis_p1024_n1000_r10,9999.95,0.688,1.436,1.988,9999.95,0,559997,0,/home/cc/mq-bench/artifacts/scale_20251216_030337_redis_p1024_n1000_r10/fanout_multi_topic_perkey,72.870000,0.220000,17972593,66.381154,0.210385,17616077
redis,1024,20000,scale_20251216_030609_redis_p1024_n2000_r10,20000.74,0.792,1.909,17.856,20000.19,0,1160043,0,/home/cc/mq-bench/artifacts/scale_20251216_030609_redis_p1024_n2000_r10/fanout_multi_topic_perkey,79.730000,0.390000,32275169,76.382143,0.382143,32029128
redis,1024,30000,scale_20251216_030843_redis_p1024_n3000_r10,30228.57,110.061,117.357,120.594,30797.97,0,1813714,0,/home/cc/mq-bench/artifacts/scale_20251216_030843_redis_p1024_n3000_r10/fanout_multi_topic_perkey,111.760000,0.700000,58164511,105.811034,0.628276,52248734
redis,1024,40000,scale_20251216_031240_redis_p1024_n4000_r10,25920.62,140.407,148.869,153.317,38071.22,0,1632999,0,/home/cc/mq-bench/artifacts/scale_20251216_031240_redis_p1024_n4000_r10/fanout_multi_topic_perkey,102.110000,0.890000,73861693,101.389667,0.790333,65781017
redis,1024,50000,scale_20251216_031730_redis_p1024_n5000_r10,30606.89,130.213,152.108,157.766,38859.48,0,2020055,0,/home/cc/mq-bench/artifacts/scale_20251216_031730_redis_p1024_n5000_r10/fanout_multi_topic_perkey,109.810000,1.070000,89443533,107.732500,0.977500,81397350
redis,1024,60000,scale_20251216_032208_redis_p1024_n6000_r10,27110.00,152.599,174.934,178.080,38821.57,0,1870590,0,/home/cc/mq-bench/artifacts/scale_20251216_032208_redis_p1024_n6000_r10/fanout_multi_topic_perkey,110.520000,1.040000,86633349,104.078182,0.945455,78747740
redis,1024,70000,scale_20251216_032716_redis_p1024_n7000_r10,29719.56,125.816,146.615,153.709,35733.14,0,18990797,0,/home/cc/mq-bench/artifacts/scale_20251216_032716_redis_p1024_n7000_r10/fanout_multi_topic_perkey,101.800000,0.880000,73526149,101.436410,0.797692,66467082
redis,1024,80000,scale_20251216_034643_redis_p1024_n8000_r10,30620.20,113.749,148.662,152.290,33628.50,0,20393052,0,/home/cc/mq-bench/artifacts/scale_20251216_034643_redis_p1024_n8000_r10/fanout_multi_topic_perkey,111.880000,0.920000,76619448,111.063333,0.830513,69122399
nats,1024,5000,scale_20251216_040238_nats_p1024_n500_r10,5000.00,0.354,0.562,0.729,5000.02,0,280000,0,/home/cc/mq-bench/artifacts/scale_20251216_040238_nats_p1024_n500_r10/fanout_multi_topic_perkey,86.420000,0.830000,68797071,67.362593,0.814815,67903452
