transport,run_id,time_s,phase,phase_time_s,target_throughput_msg_s,delivery_throughput_msg_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,cpu_cores,memory_gb,network_rx_gbps,network_tx_gbps
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,0,baseline,0,100000,904705.66,8.555051,23.023475,30.042311,10.381162,3.9509,0.179004,0.112,8
redis,fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty,0,baseline,0,100000,20009.89,3.655327,5.882927,6.714237,3.754555,0.6913,0.008729,0.0116,0.0284
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,0,baseline,0,100000,95970.81,7.207372,14.608039,15.692928,7.656167,0.8248,0.053584,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,1,baseline,1,100000,99958.063333,1.307535,3.084367,4.342669,1.488354,3.36004,0.14451,0.090347,5.5232
redis,fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty,1,baseline,1,100000,21978.81,3.625418,5.758213,6.358019,3.713983,0.6913,0.008729,0.0116,0.0284
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,1,baseline,1,100000,100089.82,7.029121,14.124895,15.001333,7.462431,0.8248,0.053584,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,2,baseline,2,100000,99990.353333,1.328077,3.505502,7.569771,1.615994,3.966,0.179199,0.116,7.6
redis,fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty,2,baseline,2,100000,19979.55,3.607893,5.61254,6.211022,3.667705,0.6913,0.008729,0.0116,0.0284
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,2,baseline,2,100000,100482.69,6.604773,13.417898,14.245185,7.020545,0.8241,0.053799,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,3,baseline,3,100000,100002.32,1.313328,3.163307,5.123207,1.51843,3.2484,0.140923,0.0849,5.107
