transport,run_id,time_s,phase,phase_time_s,target_throughput_msg_s,delivery_throughput_msg_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,cpu_cores,memory_gb,network_rx_gbps,network_tx_gbps
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,0,baseline,0,20000,21987.3,1.114242,1.902855,2.565036,1.160068,0.6785,0.070176,0.0116,0.026
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,1,baseline,1,20000,19991.02,0.855111,1.389486,1.747743,0.870397,0.6785,0.070176,0.0116,0.026
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,2,baseline,2,20000,19995.02,1.055097,1.716969,2.162182,1.088023,0.6785,0.070176,0.0116,0.026
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,3,baseline,3,20000,20003.03,1.081268,1.74552,2.370382,1.113106,0.9816,0.069785,0.0112,0.0252
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,4,baseline,4,20000,20001.95,1.124,1.850833,2.51466,1.158383,0.9816,0.069785,0.0112,0.0252
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,5,baseline,5,20000,20001.26,1.125582,1.92086,2.503139,1.164226,0.641,0.069785,0.0116,0.0256
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,6,baseline,6,20000,19995.8,1.192928,2.187733,2.832874,1.254702,0.641,0.069785,0.0116,0.0256
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,7,baseline,7,20000,20006.28,1.128381,1.864521,2.460931,1.161366,0.7319,0.070273,0.0112,0.0256
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,8,baseline,8,20000,19999.3,1.262155,2.667987,4.185658,1.384933,0.7319,0.070273,0.0112,0.0256
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,9,baseline,9,20000,19990.83,1.144617,2.035524,2.614499,1.189567,0.8155,0.071182,0.0116,0.0256
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,10,baseline,10,20000,20011.53,1.140821,1.977787,2.524992,1.178346,0.8155,0.071182,0.0116,0.0256
nats,fanout_bursty_20260629_230718_nats_p64_s1000_u10_bursty,11,baseline,11,20000,19985.16,1.111269,1.820138,2.387592,1.142995,0.8155,0.071182,0.0116,0.0256
