transport,run_id,time_s,phase,phase_time_s,target_throughput_msg_s,delivery_throughput_msg_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,cpu_cores,memory_gb,network_rx_gbps,network_tx_gbps
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,0,baseline,0,100000,95970.81,7.207372,14.608039,15.692928,7.656167,0.8248,0.053584,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,1,baseline,1,100000,100089.82,7.029121,14.124895,15.001333,7.462431,0.8248,0.053584,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,2,baseline,2,100000,100482.69,6.604773,13.417898,14.245185,7.020545,0.8241,0.053799,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,3,baseline,3,100000,99975.9,6.581884,13.359732,14.175056,6.921506,0.8241,0.053799,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,4,baseline,4,100000,99796.18,6.588405,13.483281,14.382122,6.987831,0.8241,0.053799,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,5,baseline,5,100000,99974.54,6.656489,13.332515,14.41678,6.976858,0.7826,0.053564,0.007467,0.018667
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,6,baseline,6,100000,99735.38,6.611855,13.498288,14.301145,7.038195,0.7826,0.053564,0.007467,0.018667
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,7,baseline,7,100000,100190.42,6.592494,13.384429,14.125841,6.961645,0.8029,0.053867,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,8,baseline,8,100000,100398.09,6.431479,13.152457,13.847119,6.820332,0.8029,0.053867,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,9,baseline,9,100000,99798.28,6.461922,13.143757,13.949292,6.802274,0.8322,0.053848,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,10,baseline,10,100000,99914.8,6.624074,13.40452,14.091197,7.000877,0.8322,0.053848,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,11,baseline,11,100000,99942.57,6.666983,13.371169,14.194457,7.005739,0.872,0.053555,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,12,baseline,12,100000,99877.24,6.638349,13.467187,14.255587,7.041506,0.872,0.053555,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,13,baseline,13,100000,100162.63,6.720639,13.492955,14.267419,7.065461,0.8835,0.053789,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,14,baseline,14,100000,99847.11,6.544566,13.399324,14.128103,6.961406,0.8835,0.053789,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,15,baseline,15,100000,100287.62,6.33971,12.977855,13.748851,6.692397,0.8357,0.053613,0.0112,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,16,baseline,16,100000,100090.53,6.330281,12.936664,14.026709,6.65265,0.8357,0.053613,0.0112,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,17,baseline,17,100000,99700.24,6.73437,13.317043,14.307222,7.020851,0.8227,0.053887,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,18,baseline,18,100000,100270.33,6.797522,13.624821,14.390462,7.147346,0.8227,0.053887,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,19,baseline,19,100000,99478.45,6.639819,13.346895,14.169857,6.990502,0.8214,0.053779,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,20,baseline,20,100000,100480.46,6.68277,13.323543,14.149135,7.019223,0.8214,0.053779,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,21,baseline,21,100000,99953.35,7.017347,13.935524,15.46255,7.417954,0.8111,0.05373,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,22,baseline,22,100000,99812.37,7.16723,14.294295,15.071703,7.578075,0.8111,0.05373,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,23,baseline,23,100000,100325.13,7.071639,14.00589,14.799885,7.440593,0.6465,0.053779,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,24,baseline,24,100000,99808.27,6.941446,13.96671,14.858139,7.34347,0.6465,0.053779,0.0116,0.028
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,25,baseline,25,100000,99860.05,6.840495,13.897132,15.101075,7.271236,1.4298,0.055518,0.0236,0.08
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,26,baseline,26,100000,100141.33,6.987974,14.119258,14.960594,7.422662,1.4298,0.055518,0.0236,0.08
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,27,baseline,27,100000,99757.78,6.80551,13.624017,14.529696,7.14246,1.4298,0.055518,0.0236,0.08
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,28,baseline,28,100000,100139.48,6.630872,13.389702,14.18931,7.015671,1.32,0.057715,0.0168,0.082667
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,29,baseline,29,100000,100194.87,6.639824,13.431797,14.31413,7.040115,1.32,0.057715,0.0168,0.082667
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,30,baseline,30,100000,99707.6,6.56045,13.235498,14.011465,6.90909,1.334,0.058262,0.0228,0.124
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,31,baseline,31,100000,100190.66,6.832955,13.739121,14.739521,7.244556,1.334,0.058262,0.0228,0.124
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,32,baseline,32,100000,99988.32,6.938724,13.777067,14.552686,7.380442,1.3793,0.059082,0.02,0.124
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,33,baseline,33,100000,99684.17,7.03206,14.170999,15.602465,7.497563,1.3793,0.059082,0.02,0.124
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,34,baseline,34,100000,99685.22,7.207208,14.39616,15.248626,7.668707,1.154,0.059551,0.024,0.124
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,35,baseline,35,100000,100407.28,6.966186,14.004141,14.93568,7.423746,1.154,0.059551,0.024,0.124
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,36,baseline,36,100000,100152.39,6.852114,13.864859,15.027735,7.263552,1.3481,0.059902,0.024,0.128
zenoh,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,37,baseline,37,100000,100211.46,6.5148,13.21486,14.057832,6.897831,1.3481,0.059902,0.024,0.128
