transport,host,port,payload,subs,pubs,phase,phase_start_s,phase_end_s,rate_per_pub,rate,delivery_rate,run_id,sub_tps,p25_ms,p50_ms,p75_ms,p95_ms,p99_ms,min_ms,max_ms,avg_latency_ms,pub_tps,sent,recv,errors,loss_pct,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes,max_net_rx_bps,max_net_tx_bps,avg_net_rx_bps,avg_net_tx_bps
zenoh,192.168.0.245,7447,64,1000,10,warmup,0,60,20,200,20000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,21599.23,1.255,2.435,2.899,4.403,4.865,0.223,21.496,2.479,217.17,13030,1295954,0,0.54,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,86.380000,0.700000,58080625,52.331000,0.603667,50294249,11600000.000000,28400000.000000,6847080.459770,16532183.908046
zenoh,192.168.0.245,7447,64,1000,10,baseline,60,120,100,1000,100000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,115589.83,2.164,6.902,7.808,13.910,14.867,0.164,21.496,7.305,1167.33,70040,6935390,0,0.98,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,152.390000,0.800000,66532147,115.130000,0.741724,61805600,24000000.000000,128000000.000000,17414285.714286,81571428.571429
zenoh,192.168.0.245,7447,64,1000,10,burst,120,180,1000,10000,1000000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,1001727.80,4.210,8.633,12.531,16.675,18.047,0.163,36.274,9.055,10017.33,601040,60103668,0,0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,239.710000,0.830000,69426217,172.231034,0.808621,67352568,36000000.000000,840000000.000000,27476190.476190,533047619.047619
zenoh,192.168.0.245,7447,64,1000,10,recovery,180,240,100,1000,100000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,132099.43,4.546,7.342,13.165,14.558,15.580,0.163,36.274,7.772,1334.00,80040,7925966,0,0.97,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,236.760000,0.820000,68430070,169.333103,0.813103,67656293,36000000.000000,840000000.000000,24952380.952381,389047619.047619
zenoh,192.168.0.245,7447,64,1000,10,burst,240,300,2000,20000,2000000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,2001731.00,5.073,9.659,14.191,18.553,20.648,0.163,75.366,10.497,20017.33,1201040,120103860,0,0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,241.030000,0.910000,75686216,188.970690,0.863103,71852043,48000000.000000,1600000000.000000,34952380.952381,995238095.238095
zenoh,192.168.0.245,7447,64,1000,10,recovery,300,360,100,1000,100000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,148822.00,5.280,7.953,14.636,15.570,16.864,0.163,75.366,8.438,1499.07,89944,8929320,0,0.72,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,240.580000,0.930000,77038879,174.087241,0.913793,76113239,48000000.000000,1600000000.000000,29761904.761905,680952380.952381
zenoh,192.168.0.245,7447,64,1000,10,burst,360,420,3000,30000,3000000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,3001485.90,5.824,10.729,15.005,21.695,26.523,0.163,160.956,11.740,30014.78,1800887,180089154,0,-0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,303.640000,1.130000,94371840,227.132069,1.027931,85701924,80000000.000000,2400000000.000000,40952380.952381,1471428571.428571
zenoh,192.168.0.245,7447,64,1000,10,recovery,420,480,100,1000,100000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,156090.75,6.157,31.224,15.193,63.786,71.915,0.163,384.041,31.368,1667.55,100053,9365445,0,6.40,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,298.650000,1.170000,97622426,195.973793,1.157931,96319660,80000000.000000,2400000000.000000,37142857.142857,1004761904.761905
zenoh,192.168.0.245,7447,64,1000,10,burst,480,540,4000,40000,4000000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,3603698.77,6.940,3063.971,56.521,3179.970,3201.518,0.163,14579.401,3066.689,40016.90,2401014,216221926,0,9.95,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,315.040000,1.820000,151414374,235.472667,1.429333,119086077,80000000.000000,3200000000.000000,45057471.264368,1673563218.390805
zenoh,192.168.0.245,7447,64,1000,10,recovery,540,600,100,1000,100000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,516758.02,7.862,5115.333,1842.940,5359.335,5393.802,0.163,14579.401,5080.544,1833.97,110038,31005481,0,-181.77,/home/cc/mq-bench/results/fanout_bursty_load_20260616_034049/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,314.190000,1.980000,165255578,224.813000,1.907000,158768387,80000000.000000,3600000000.000000,37701149.425287,1485057471.264368
