transport,run_id,time_s,phase,phase_time_s,target_throughput_msg_s,delivery_throughput_msg_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,cpu_cores,memory_gb,network_rx_gbps,network_tx_gbps
mqtt_artemis,fanout_bursty_20260619_061808_mqtt_artemis_p64_s1000_u10_bursty,0,baseline,0,20000,19993.455,1.929374,3.222743,4.548959,2.005153,1.8759,0.583447,0.0118,0.0244
mqtt_hivemq,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,0,baseline,0,20000,19996.36,2.543371,4.374797,5.943788,2.64373,2.4178,0.902344,0.007467,0.015733
mqtt_mosquitto,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,0,baseline,0,20000,19996.17,2.180207,3.730978,4.174062,2.327024,0.7051,0.009525,0.010933,0.022667
mqtt_rabbitmq,fanout_bursty_20260619_054605_mqtt_rabbitmq_p64_s1000_u10_bursty,0,baseline,0,20000,20975.65,2.319964,6.892749,8.669103,2.763322,1.8695,0.171973,0.0116,0.0244
mqtt_artemis,fanout_bursty_20260619_061808_mqtt_artemis_p64_s1000_u10_bursty,1,baseline,1,20000,21979.74,2.108128,6.686048,9.508952,2.630428,1.8759,0.583447,0.0118,0.0244
mqtt_hivemq,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,1,baseline,1,20000,21969.67,2.70409,10.27524,14.851764,3.476365,2.4178,0.902344,0.007467,0.015733
mqtt_mosquitto,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,1,baseline,1,20000,21976.74,2.406505,10.678232,11.982364,3.333383,0.7051,0.009525,0.010933,0.022667
mqtt_rabbitmq,fanout_bursty_20260619_054605_mqtt_rabbitmq_p64_s1000_u10_bursty,1,baseline,1,20000,21207.65,2.421048,8.398972,11.006545,3.032678,1.8695,0.171973,0.0116,0.0244
mqtt_artemis,fanout_bursty_20260619_061808_mqtt_artemis_p64_s1000_u10_bursty,2,baseline,2,20000,20003.38,1.941229,3.368484,8.426573,2.164556,1.8759,0.583447,0.0118,0.0244
mqtt_hivemq,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,2,baseline,2,20000,19983.16,2.571329,4.109522,5.194266,2.603838,2.4178,0.902344,0.007467,0.015733
mqtt_mosquitto,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,2,baseline,2,20000,20003.02,2.176148,3.672143,3.913857,2.203233,0.7051,0.009525,0.010933,0.022667
mqtt_rabbitmq,fanout_bursty_20260619_054605_mqtt_rabbitmq_p64_s1000_u10_bursty,2,baseline,2,20000,19798.58,2.359554,3.430316,5.469421,2.472495,1.8695,0.171973,0.0116,0.0244
mqtt_artemis,fanout_bursty_20260619_061808_mqtt_artemis_p64_s1000_u10_bursty,3,baseline,3,20000,20011.55,1.936401,3.22445,5.777397,2.048429,1.8682,0.576465,0.0116,0.0248
mqtt_hivemq,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,3,baseline,3,20000,20010.31,2.560661,4.243923,5.929072,2.650192,2.4532,0.902246,0.0112,0.024
mqtt_mosquitto,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,3,baseline,3,20000,19992.89,2.132544,3.824964,4.03512,2.253349,0.7051,0.009525,0.010933,0.022667
mqtt_rabbitmq,fanout_bursty_20260619_054605_mqtt_rabbitmq_p64_s1000_u10_bursty,3,baseline,3,20000,20000.23,2.375167,3.906743,6.857338,2.566211,1.8632,0.174609,0.0116,0.0244
mqtt_artemis,fanout_bursty_20260619_061808_mqtt_artemis_p64_s1000_u10_bursty,4,baseline,4,20000,20001.105,1.988649,3.167925,4.749535,2.056658,1.8464,0.59082,0.007733,0.016
mqtt_hivemq,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,4,baseline,4,20000,20017.17,2.33529,4.314461,6.872084,2.492863,2.4532,0.902246,0.0112,0.024
mqtt_mosquitto,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,4,baseline,4,20000,20008.45,2.116954,3.64604,4.247704,2.158807,0.6973,0.009525,0.010933,0.022933
mqtt_rabbitmq,fanout_bursty_20260619_054605_mqtt_rabbitmq_p64_s1000_u10_bursty,4,baseline,4,20000,20000.29,2.365627,3.686695,5.837981,2.509609,1.8632,0.174609,0.0116,0.0244
