transport,payload,rate,run_id,sub_tps,p25_ms,p50_ms,p75_ms,p95_ms,p99_ms,min_ms,max_ms,avg_latency_ms,stddev_ms,sample_count,pub_tps,sent,recv,errors,loss_pct,duplicate_count,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,sub_mttf,sub_mttr,sub_crash_count,pub_crash_loop,pub_mttf,pub_mttr,pub_crash_count
zenoh,1024,100,latency_20251221_090825_zenoh_p1024_n10_r10,100.00,0.325,0.351,0.375,0.427,0.572,0.219,6.775,0.359,0.136,395862,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_090825_zenoh_p1024_n10_r10/fanout_multi_topic_perkey,3.200000,0.050000,3829400,,,,,,,
zenoh,16384,100,latency_20251221_091059_zenoh_p16384_n10_r10,100.00,0.431,0.461,0.492,0.556,0.682,0.319,2.949,0.467,0.082,395862,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_091059_zenoh_p16384_n10_r10/fanout_multi_topic_perkey,2.550000,0.050000,4383048,,,,,,,
zenoh,1048576,100,latency_20251221_091333_zenoh_p1048576_n10_r10,100.00,7.742,7.959,8.182,8.532,9.403,4.033,16.597,7.986,0.466,395862,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_091333_zenoh_p1048576_n10_r10/fanout_multi_topic_perkey,34.930000,0.100000,8396997,,,,,,,
redis,1024,100,latency_20251221_091607_redis_p1024_n10_r10,100.00,0.200,0.257,0.273,0.339,0.707,0.161,2.691,0.260,0.131,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_091607_redis_p1024_n10_r10/fanout_multi_topic_perkey,2.630000,0.040000,3743416,,,,,,,
redis,16384,100,latency_20251221_091831_redis_p16384_n10_r10,100.00,0.347,0.429,0.456,0.507,0.824,0.283,4.411,0.424,0.128,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_091831_redis_p16384_n10_r10/fanout_multi_topic_perkey,3.160000,0.050000,4329570,,,,,,,
redis,1048576,100,latency_20251221_092056_redis_p1048576_n10_r10,100.00,8.145,8.576,8.731,9.936,11.313,3.877,24.789,8.580,0.929,395862,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_092056_redis_p1048576_n10_r10/fanout_multi_topic_perkey,23.960000,0.220000,17983078,,,,,,,
nats,1024,100,latency_20251221_092320_nats_p1024_n10_r10,100.00,0.198,0.209,0.291,0.335,0.430,0.164,5.865,0.244,0.097,395862,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_092320_nats_p1024_n10_r10/fanout_multi_topic_perkey,2.750000,0.090000,7294943,,,,,,,
nats,16384,100,latency_20251221_092544_nats_p16384_n10_r10,100.00,0.331,0.388,0.429,0.490,0.608,0.292,4.227,0.391,0.089,395862,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_092544_nats_p16384_n10_r10/fanout_multi_topic_perkey,2.890000,0.100000,8298430,,,,,,,
nats,1048576,100,latency_20251221_092808_nats_p1048576_n10_r10,100.00,8.110,8.266,8.688,10.181,19.062,4.162,80.871,8.744,2.427,395853,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_092808_nats_p1048576_n10_r10/fanout_multi_topic_perkey,77.270000,0.200000,16609444,,,,,,,
mqtt_mosquitto,1024,100,latency_20251221_093033_mosquitto_p1024_n10_r10,100.00,0.209,0.274,0.299,0.345,0.509,0.161,41.648,0.323,1.478,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_093033_mosquitto_p1024_n10_r10/fanout_multi_topic_perkey,2.140000,0.020000,1626341,,,,,,,
