transport,run_id,time_s,phase,phase_time_s,target_throughput_msg_s,delivery_throughput_msg_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,cpu_cores,memory_gb,network_rx_gbps,network_tx_gbps
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,0,baseline,0,20000,20052.83,2.754135,4.348278,4.821142,2.758025,0.8178,0.053945,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,1,baseline,1,20000,19991.98,2.789652,4.509068,4.825371,2.776607,0.8178,0.053945,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,2,baseline,2,20000,20001.6,2.811592,4.33548,4.960907,2.791913,0.8178,0.053945,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,3,baseline,3,20000,19999.04,2.724013,4.499915,4.769285,2.728104,0.8178,0.053945,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,4,baseline,4,20000,20000.06,2.78493,4.437617,4.846202,2.771073,0.8124,0.054219,0.0112,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,5,baseline,5,20000,19998.99,2.754941,4.559967,4.892706,2.764335,0.8124,0.054219,0.0112,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,6,baseline,6,20000,19999.56,2.770221,4.319214,4.758089,2.751165,0.8124,0.054219,0.0112,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,7,baseline,7,20000,20007.35,2.781149,4.563448,4.859404,2.777774,0.805,0.054043,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,8,baseline,8,20000,19996.9,2.732667,4.466977,4.844548,2.737246,0.805,0.054043,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,9,baseline,9,20000,19994.97,2.753872,4.436946,4.772016,2.738235,0.805,0.054043,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,10,baseline,10,20000,20013.14,2.705008,4.460295,4.836158,2.717521,0.8087,0.053799,0.0112,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,11,baseline,11,20000,20001.96,2.723198,4.279014,4.648679,2.718241,0.8087,0.053799,0.0112,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,12,baseline,12,20000,20004.96,2.723766,4.430998,5.026489,2.728697,0.8087,0.053799,0.0112,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,13,baseline,13,20000,20000.22,2.743865,4.27391,4.857615,2.733166,0.7993,0.054189,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,14,baseline,14,20000,19990.97,2.743652,4.423765,4.819514,2.740848,0.7993,0.054189,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,15,baseline,15,20000,19990.01,2.746599,4.385071,4.907613,2.732619,0.7993,0.054189,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,16,baseline,16,20000,20005.1,2.727768,4.399501,4.769643,2.72913,0.7802,0.054014,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,17,baseline,17,20000,19997.99,2.683499,4.088807,4.462128,2.660799,0.7802,0.054014,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,18,baseline,18,20000,20003.59,2.616929,4.254497,4.529174,2.62999,0.7802,0.054014,0.010933,0.026667
zenoh,fanout_bursty_20260612_193403_zenoh_p64_s1000_u10_bursty,19,baseline,19,20000,19997.32,2.690158,4.284132,4.557942,2.684249,0.804,0.054971,0.0112,0.029333
