transport,payload,subs,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,loss_pct,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes
zenoh,1024,500,10,fanout_20260303_214456_zenoh_p1024_s500_r10,5000.00,5.326,10.240,15.255,,0,255000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_214456_zenoh_p1024_s500_r10/fanout_singlesite,33.310000,0.360000,29884416,26.016400,0.360000,29741810
zenoh,1024,1000,10,fanout_20260303_214833_zenoh_p1024_s1000_r10,10000.00,9.984,19.306,28.656,,0,510000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_214833_zenoh_p1024_s1000_r10/fanout_singlesite,54.650000,0.690000,57661194,43.092800,0.687200,57148231
zenoh,1024,2000,10,fanout_20260303_215209_zenoh_p1024_s2000_r10,20000.00,13.490,26.126,38.908,,0,1040000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_215209_zenoh_p1024_s2000_r10/fanout_singlesite,76.140000,1.350000,112302490,58.940000,1.341538,111834663
zenoh,1024,3000,10,fanout_20260303_215546_zenoh_p1024_s3000_r10,30000.00,16.128,30.520,44.565,,0,1560000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_215546_zenoh_p1024_s3000_r10/fanout_singlesite,90.900000,2.010000,167247872,71.332400,2.001200,166547423
zenoh,1024,4000,10,fanout_20260303_215923_zenoh_p1024_s4000_r10,40000.00,20.394,37.728,53.357,,0,2080000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_215923_zenoh_p1024_s4000_r10/fanout_singlesite,97.710000,2.720000,226492416,84.826000,2.714400,226081374
zenoh,1024,5000,10,fanout_20260303_220259_zenoh_p1024_s5000_r10,50000.00,21.846,40.034,57.869,,0,2550000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_220259_zenoh_p1024_s5000_r10/fanout_singlesite,110.540000,3.350000,278816358,97.218000,3.335200,277650342
zenoh,1024,6000,10,fanout_20260303_220635_zenoh_p1024_s6000_r10,59998.65,24.765,44.737,63.869,,0,3119930,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_220635_zenoh_p1024_s6000_r10/fanout_singlesite,132.750000,4.210000,350538957,120.559231,4.171538,347304503
zenoh,1024,7000,10,fanout_20260303_221012_zenoh_p1024_s7000_r10,70000.35,47.922,76.898,105.892,,0,3570018,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_221012_zenoh_p1024_s7000_r10/fanout_singlesite,141.140000,4.940000,411146650,127.869200,4.905200,408483267
zenoh,1024,8000,10,fanout_20260303_221348_zenoh_p1024_s8000_r10,80063.39,48.234,75.821,104.806,,0,4083233,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_221348_zenoh_p1024_s8000_r10/fanout_singlesite,150.300000,6.310000,525651149,139.788846,6.306154,524981673
zenoh,1024,9000,10,fanout_20260303_221724_zenoh_p1024_s9000_r10,90003.16,57.244,86.397,115.984,,0,4590161,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_221724_zenoh_p1024_s9000_r10/fanout_singlesite,183.290000,7.040000,586468557,164.051200,6.946400,578369356
zenoh,1024,10000,10,fanout_20260303_222059_zenoh_p1024_s10000_r10,100064.94,59.003,92.485,127.042,,0,5103312,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_222059_zenoh_p1024_s10000_r10/fanout_singlesite,179.430000,7.720000,642462515,170.220800,7.666000,638230462
mqtt_mosquitto,1024,500,10,fanout_20260303_222436_mosquitto_p1024_s500_r10,5000.00,5.217,10.016,14.770,,0,255000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_222436_mosquitto_p1024_s500_r10/fanout_singlesite,19.230000,0.080000,6602883,17.096800,0.076000,6316035
mqtt_mosquitto,1024,1000,10,fanout_20260303_222803_mosquitto_p1024_s1000_r10,10000.00,8.799,17.194,25.565,,0,510000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_222803_mosquitto_p1024_s1000_r10/fanout_singlesite,48.860000,0.120000,10309599,39.109200,0.120000,10014236
mqtt_mosquitto,1024,2000,10,fanout_20260303_223129_mosquitto_p1024_s2000_r10,20000.00,16.562,32.719,46.021,,0,1020000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_223129_mosquitto_p1024_s2000_r10/fanout_singlesite,60.840000,0.210000,17626563,57.737600,0.210000,17499056
mqtt_mosquitto,1024,3000,10,fanout_20260303_223455_mosquitto_p1024_s3000_r10,30000.00,17.470,34.541,48.446,,0,1530000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_223455_mosquitto_p1024_s3000_r10/fanout_singlesite,65.050000,0.300000,25081938,61.824000,0.300000,25008118
mqtt_mosquitto,1024,4000,10,fanout_20260303_223821_mosquitto_p1024_s4000_r10,40000.00,17.716,34.821,49.073,,0,2040000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_223821_mosquitto_p1024_s4000_r10/fanout_singlesite,69.000000,0.390000,32799457,65.409200,0.390000,32520955
mqtt_mosquitto,1024,5000,10,fanout_20260303_224147_mosquitto_p1024_s5000_r10,50000.00,17.112,33.369,48.100,,0,2550000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_224147_mosquitto_p1024_s5000_r10/fanout_singlesite,75.570000,0.480000,40359690,66.657600,0.480000,40001077
mqtt_mosquitto,1024,6000,10,fanout_20260303_224514_mosquitto_p1024_s6000_r10,60000.00,17.794,34.733,50.235,,0,3060000,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_224514_mosquitto_p1024_s6000_r10/fanout_singlesite,91.180000,0.590000,48769270,65.289600,0.570800,47453517
mqtt_mosquitto,1024,7000,10,fanout_20260303_224840_mosquitto_p1024_s7000_r10,70469.61,57.326,153.992,473.777,,0,3593950,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_224840_mosquitto_p1024_s7000_r10/fanout_singlesite,111.750000,0.700000,58195968,109.140800,0.662000,54969290
mqtt_mosquitto,1024,8000,10,fanout_20260303_225206_mosquitto_p1024_s8000_r10,75810.84,45.875,897.330,2445.320,,0,3560353,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_225206_mosquitto_p1024_s8000_r10/fanout_singlesite,103.560000,0.950000,79209431,103.085385,0.720000,60145513
mqtt_mosquitto,1024,9000,10,fanout_20260303_225532_mosquitto_p1024_s9000_r10,84418.24,493.602,1324.593,2606.195,,0,4305330,0,0.00,/home/cc/mq-bench/artifacts/fanout_20260303_225532_mosquitto_p1024_s9000_r10/fanout_singlesite,116.620000,1.050000,87713382,105.337600,0.800800,66526695
