transport,host,port,payload,subs,pubs,phase,phase_start_s,phase_end_s,rate_per_pub,rate,delivery_rate,run_id,sub_tps,p25_ms,p50_ms,p75_ms,p95_ms,p99_ms,min_ms,max_ms,avg_latency_ms,pub_tps,sent,recv,errors,loss_pct,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes,max_net_rx_bps,max_net_tx_bps,avg_net_rx_bps,avg_net_tx_bps
nats,192.168.0.245,4222,64,1000,10,warmup,0,60,20,200,20000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,21613.27,0.798,1.143,1.428,2.130,4.503,0.209,46.268,1.243,217.17,13030,1296796,0,0.48,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,127.310000,0.920000,76567020,65.393571,0.675000,56203299,11600000.000000,26800000.000000,6407111.111111,14355160.493827
nats,192.168.0.245,4222,64,1000,10,baseline,60,120,100,1000,100000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,115688.67,0.881,1.358,1.738,3.246,6.219,0.163,46.268,1.589,1167.33,70040,6941320,0,0.89,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,277.040000,0.980000,81830871,204.136207,0.942759,78477959,56000000.000000,128000000.000000,32314285.714286,81666666.666667
nats,192.168.0.245,4222,64,1000,10,burst,120,180,1000,10000,1000000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,1001727.37,1.006,1.356,1.780,2.877,5.554,0.163,46.268,1.545,10017.33,601040,60103642,0,0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,285.970000,1.000000,83445678,275.022000,0.994333,82722161,40000000.000000,760000000.000000,36919540.229885,485471264.367816
nats,192.168.0.245,4222,64,1000,10,recovery,180,240,100,1000,100000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,132234.47,1.014,1.214,1.768,3.103,6.409,0.163,46.268,1.465,1334.00,80040,7934068,0,0.87,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,280.220000,1.020000,84787855,270.969655,1.008621,84024926,40000000.000000,800000000.000000,32476190.476190,388095238.095238
nats,192.168.0.245,4222,64,1000,10,burst,240,300,2000,20000,2000000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,2001718.50,1.047,1.412,1.812,3.815,7.807,0.163,46.268,1.755,20017.23,1201034,120103110,0,0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,308.060000,1.020000,85081457,280.296897,1.009310,84174619,80000000.000000,1600000000.000000,54428571.428571,894285714.285714
nats,192.168.0.245,4222,64,1000,10,recovery,300,360,100,1000,100000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,149017.60,1.060,1.183,1.835,3.322,7.053,0.151,46.268,1.468,1500.48,90029,8941056,0,0.69,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,316.360000,1.050000,87671439,283.753448,1.033448,86019390,80000000.000000,1600000000.000000,52857142.857143,666666666.666667
nats,192.168.0.245,4222,64,1000,10,burst,360,420,3000,30000,3000000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,3001507.57,1.129,1.783,2.012,5.985,11.899,0.151,163.578,2.388,30014.40,1800864,180090454,0,-0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,342.000000,1.060000,87954555,299.628621,1.030000,85788703,120000000.000000,2400000000.000000,62857142.857143,1271428571.428571
nats,192.168.0.245,4222,64,1000,10,recovery,420,480,100,1000,100000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,165650.55,1.181,1.569,2.123,5.025,10.958,0.151,163.578,2.065,1667.05,100023,9939033,0,0.63,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,357.890000,1.070000,88919245,289.422667,1.049333,87388673,120000000.000000,2400000000.000000,64367816.091954,965517241.379310
nats,192.168.0.245,4222,64,1000,10,burst,480,540,4000,40000,4000000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,4001730.85,1.262,2.259,2.386,11.038,19.020,0.151,386.662,3.669,40017.25,2401035,240103851,0,-0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,386.000000,1.130000,94120182,316.885862,1.082759,90101243,120000000.000000,3200000000.000000,65714285.714286,1638095238.095238
nats,192.168.0.245,4222,64,1000,10,recovery,540,600,100,1000,100000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,182074.83,1.326,1.966,2.567,7.208,13.144,0.151,386.662,2.681,1834.00,110040,10924490,0,0.72,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,362.460000,1.150000,95514788,306.130000,1.097241,91353026,120000000.000000,3200000000.000000,66190476.190476,1238095238.095238
nats,192.168.0.245,4222,64,1000,10,burst,600,660,5000,50000,5000000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,5001729.57,1.415,2.925,2.887,24.130,36.010,0.151,834.142,7.200,50017.33,3001040,300103774,0,0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,368.100000,1.170000,97758740,323.080690,1.124483,93593001,120000000.000000,3600000000.000000,69047619.047619,2066666666.666667
nats,192.168.0.245,4222,64,1000,10,recovery,660,720,100,1000,100000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,198551.02,1.490,2.339,3.129,8.669,15.568,0.151,834.142,3.208,2000.67,120040,11913061,0,0.76,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,367.060000,1.520000,126143693,309.672000,1.202000,100127124,120000000.000000,3600000000.000000,67586206.896552,1544827586.206897
nats,192.168.0.245,4222,64,1000,10,burst,720,780,6000,60000,6000000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,6001726.98,1.589,3.367,3.470,12.919,23.443,0.151,834.142,4.703,60017.33,3601040,360103619,0,0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260616_201133/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,377.900000,1.300000,107898470,326.655667,1.199667,99868825,120000000.000000,4800000000.000000,74482758.620690,2501149425.287356
