transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes
zenoh,1024,5000,scale_20251212_024623_zenoh_p1024_n500_r10,5000.00,0.403,0.929,1.854,4999.79,0,120000,0,/home/cc/mq-bench/artifacts/scale_20251212_024623_zenoh_p1024_n500_r10/fanout_multi_topic_perkey,48.160000,5.800000,58426655,29.842500,5.670833,57101080
zenoh,1024,10000,scale_20251212_024732_zenoh_p1024_n1000_r10,9999.46,0.476,1.023,2.940,10000.07,0,239987,0,/home/cc/mq-bench/artifacts/scale_20251212_024732_zenoh_p1024_n1000_r10/fanout_multi_topic_perkey,55.870000,11.360000,114399642,45.340833,11.130000,112151320
zenoh,1024,20000,scale_20251212_024844_zenoh_p1024_n2000_r10,20041.54,1.111,40.931,61.276,20000.14,0,480997,0,/home/cc/mq-bench/artifacts/scale_20251212_024844_zenoh_p1024_n2000_r10/fanout_multi_topic_perkey,99.070000,22.550000,227121562,95.825833,22.450000,226107938
zenoh,1024,30000,scale_20251212_024957_zenoh_p1024_n3000_r10,30010.09,148.070,363.670,471.914,29999.93,0,690232,0,/home/cc/mq-bench/artifacts/scale_20251212_024957_zenoh_p1024_n3000_r10/fanout_multi_topic_perkey,97.600000,35.400000,356515840,96.404545,35.338182,355896227
redis,1024,5000,scale_20251212_025344_redis_p1024_n500_r10,5000.00,0.366,0.975,2.044,5000.00,0,120000,0,/home/cc/mq-bench/artifacts/scale_20251212_025344_redis_p1024_n500_r10/fanout_multi_topic_perkey,47.700000,2.150000,21705523,26.759167,2.119167,21357745
redis,1024,10000,scale_20251212_025444_redis_p1024_n1000_r10,10000.12,0.478,1.140,3.244,9999.76,0,240003,0,/home/cc/mq-bench/artifacts/scale_20251212_025444_redis_p1024_n1000_r10/fanout_multi_topic_perkey,58.080000,1.850000,18601738,43.857500,1.774167,17865114
redis,1024,20000,scale_20251212_025544_redis_p1024_n2000_r10,20000.54,0.755,3.119,21.826,19999.83,0,480013,0,/home/cc/mq-bench/artifacts/scale_20251212_025544_redis_p1024_n2000_r10/fanout_multi_topic_perkey,80.520000,3.350000,33774633,75.890000,3.190833,32127495
nats,1024,5000,scale_20251212_030016_nats_p1024_n500_r10,4999.96,0.306,0.811,1.775,4999.97,0,119999,0,/home/cc/mq-bench/artifacts/scale_20251212_030016_nats_p1024_n500_r10/fanout_multi_topic_perkey,45.910000,8.170000,82313216,28.396154,7.643846,76992096
nats,1024,10000,scale_20251212_030116_nats_p1024_n1000_r10,9999.83,0.387,1.156,7.767,10000.03,0,239996,0,/home/cc/mq-bench/artifacts/scale_20251212_030116_nats_p1024_n1000_r10/fanout_multi_topic_perkey,62.460000,13.190000,132854579,45.873333,12.627500,127183531
nats,1024,20000,scale_20251212_030218_nats_p1024_n2000_r10,20041.77,0.833,33.242,79.669,20000.03,0,440919,0,/home/cc/mq-bench/artifacts/scale_20251212_030218_nats_p1024_n2000_r10/fanout_multi_topic_perkey,92.510000,25.900000,260885709,86.982727,24.657273,248340927
mqtt_mosquitto,1024,5000,scale_20251212_030718_mosquitto_p1024_n500_r10,4999.92,0.406,1.208,14.083,4999.93,0,119998,0,/home/cc/mq-bench/artifacts/scale_20251212_030718_mosquitto_p1024_n500_r10/fanout_multi_topic_perkey,49.460000,1.040000,10517217,37.217500,1.020000,10283997
mqtt_mosquitto,1024,10000,scale_20251212_030817_mosquitto_p1024_n1000_r10,10000.00,0.484,1.905,20.138,9999.90,0,240000,0,/home/cc/mq-bench/artifacts/scale_20251212_030817_mosquitto_p1024_n1000_r10/fanout_multi_topic_perkey,59.860000,0.890000,8941208,56.920833,0.842500,8491718
mqtt_mosquitto,1024,20000,scale_20251212_030916_mosquitto_p1024_n2000_r10,19339.67,416.063,1541.234,2195.938,19999.93,0,464152,0,/home/cc/mq-bench/artifacts/scale_20251212_030916_mosquitto_p1024_n2000_r10/fanout_multi_topic_perkey,97.460000,7.310000,73610035,88.850833,5.676667,57160674
mqtt_mosquitto,1024,30000,scale_20251212_031017_mosquitto_p1024_n3000_r10,25889.70,1565.603,4019.803,4836.819,30001.31,0,595463,0,/home/cc/mq-bench/artifacts/scale_20251212_031017_mosquitto_p1024_n3000_r10/fanout_multi_topic_perkey,97.600000,8.590000,86559949,95.230833,7.493333,75479122
mqtt_emqx,1024,5000,scale_20251212_031237_emqx_p1024_n500_r10,5000.25,0.658,2.145,17.043,5000.00,0,120006,0,/home/cc/mq-bench/artifacts/scale_20251212_031237_emqx_p1024_n500_r10/fanout_multi_topic_perkey,52.940000,28.750000,289616691,37.265833,27.691667,278912478
mqtt_emqx,1024,10000,scale_20251212_031338_emqx_p1024_n1000_r10,9999.92,0.715,10.553,38.983,9999.83,0,239998,0,/home/cc/mq-bench/artifacts/scale_20251212_031338_emqx_p1024_n1000_r10/fanout_multi_topic_perkey,73.430000,30.500000,307127910,66.673077,29.646154,298577983
mqtt_hivemq,1024,5000,scale_20251212_031743_hivemq_p1024_n500_r10,5000.46,2.225,32.881,95.178,4999.72,0,120011,0,/home/cc/mq-bench/artifacts/scale_20251212_031743_hivemq_p1024_n500_r10/fanout_multi_topic_perkey,99.900000,32.140000,323800269,69.209167,30.912500,311339691
mqtt_hivemq,1024,10000,scale_20251212_031847_hivemq_p1024_n1000_r10,9790.16,2140.353,3486.305,4006.399,10000.07,0,186013,0,/home/cc/mq-bench/artifacts/scale_20251212_031847_hivemq_p1024_n1000_r10/fanout_multi_topic_perkey,98.490000,45.830000,461583155,96.826667,45.274444,455990750
mqtt_artemis,1024,5000,scale_20251212_032259_artemis_p1024_n500_r10,5000.08,0.614,3.200,38.604,5000.07,0,120002,0,/home/cc/mq-bench/artifacts/scale_20251212_032259_artemis_p1024_n500_r10/fanout_multi_topic_perkey,99.870000,55.840000,562456166,47.810000,49.855000,502145570
mqtt_artemis,1024,10000,scale_20251212_032401_artemis_p1024_n1000_r10,10000.29,2247.040,3679.337,5493.373,9999.93,0,199143,0,/home/cc/mq-bench/artifacts/scale_20251212_032401_artemis_p1024_n1000_r10/fanout_multi_topic_perkey,98.470000,64.920000,653891994,97.140000,63.827143,642866966
